,places_name,road_address_name,lat,lng,distance,category_group_name
62,GS25 당산스타점,서울 영등포구 영신로 219,126.902788975204,37.5272881344462,299,편의점
63,CU 여의국회정문점,서울 영등포구 국회대로 750,126.916503845054,37.5282789166509,298,편의점
64,GS25 S9국회의사당역점,서울 영등포구 국회대로 지하 758,126.917884290769,37.5280672481641,235,편의점
65,이마트24 당산점,서울 영등포구 당산로37길 7,126.897450517971,37.5296334313321,119,편의점
66,GS25 당산현대점,서울 영등포구 국회대로29길 3,126.896402048537,37.5286089788022,143,편의점
67,GS25 양평현대점,서울 영등포구 선유로 201,126.89379044164554,37.53135741551327,263,편의점
68,GS25 영등포병원점,서울 영등포구 당산로33길 9,126.895661806155,37.5272388049173,296,편의점
69,CU 당산삼성2차점,서울 영등포구 당산로36길 12,126.897805615745,37.5280804128292,248,편의점
70,CU 당산현대해상점,서울 영등포구 당산로 141,126.8966832333028,37.52734241706002,286,편의점
71,세븐일레븐 여의점,서울 영등포구 여의서로 43,126.92490027525128,37.5307821302228,119,편의점
72,CU 순복음드림점,서울 영등포구 은행로 54,126.924539267631,37.5297619666414,1,편의점
73,GS25 G여의도점,서울 영등포구 은행로 64,126.925466260004,37.5304761483557,115,편의점
74,이마트24 여의도점,서울 영등포구 여의공원로 101,126.92492445301508,37.52923512630253,67,편의점
75,CU 당산타운점,서울 영등포구 버드나루로17길 8,126.907513195504,37.5273856326549,251,편의점
76,세븐일레븐 영등포3호점,서울 영등포구 영중로 134-1,126.906136373438,37.5283035680187,177,편의점
77,세븐일레븐 당산메인점,서울 영등포구 국회대로53길 19,126.906404788333,37.5271649150552,284,편의점
78,세븐일레븐 당산현대점,서울 영등포구 버드나루로 109,126.907956221003,37.5277499834081,219,편의점
79,신구멍가게24 당산점,서울 영등포구 국회대로53길 30,126.906689705428,37.5282112033394,166,편의점
80,CU 당산뉴보문점,서울 영등포구 당산로38길 12,126.89941131332284,37.52865843224501,24,편의점
81,GS25 당산금호점,서울 영등포구 국회대로37길 15,126.900076942237,37.5283526568155,76,편의점
82,GS25 당산대로점,서울 영등포구 당산로32길 1-11,126.89721877790312,37.52702483078022,287,편의점
83,CU 영등포으뜸점,서울 영등포구 당산로32길 10,126.897853350197,37.5262604308972,289,편의점
84,GS25 당산계룡점,서울 영등포구 국회대로55길 10,126.908293234042,37.5259986982457,274,편의점
85,CU 당산행운점,서울 영등포구 버드나루로 95,126.908486956936,37.5267016299119,203,편의점
86,이마트24 영등포KT점,서울 영등포구 영중로 119,126.905201823592,37.5265765024891,251,편의점
87,GS25 양평역점,서울 영등포구 선유서로 117,126.886241856445,37.5262029653863,218,편의점
88,CU 양평경남점,서울 영등포구 선유로33길 22,126.888344545443,37.5272176977763,64,편의점
89,GS25 양평보보점,서울 영등포구 양산로7길 3,126.887229160034,37.5256597072026,230,편의점
