정류소명,Longitude,Latitude
종로2가사거리,126.9877862,37.56976415
창경궁.서울대학교병원,126.9965202,37.57917886
명륜3가.성대입구,126.9982902,37.58270882
종로2가.삼일교,126.9875072,37.56858223
혜화동로터리.여운형활동터,127.0016943,37.58622998
서대문역사거리,126.9669608,37.56620752
서울역사박물관.경희궁앞,126.9704199,37.56909809
서울역사박물관.경희궁앞,126.970442,37.56933602
광화문,126.9752406,37.57005075
광화문,126.9780909,37.57029571
종로1가,126.981,37.570072
종로1가,126.9813906,37.57026661
종로2가,126.9855411,37.57008725
종로2가,126.986254,37.57026795
종로3가.탑골공원,126.989569,37.57018754
종로3가.탑골공원,126.9899683,37.57038869
종로4가.종묘,126.9947287,37.57041688
종로4가.종묘,126.995277,37.57060029
종로5가.광장시장,126.9988533,37.57071571
종로5가.광장시장,126.9993199,37.57090764
종로6가.동대문종합시장,127.0034688,37.57091778
종로6가.동대문종합시장,127.0057094,37.57115181
동대문역.흥인지문,127.0134621,37.57228008
동대문(흥인지문),127.0124928,37.57216719
동묘앞,127.017533,37.573432
동묘앞,127.019639,37.57430372
경기상고,126.9694326,37.5875739
신교동,126.970341,37.58330295
경기상고,126.9696701,37.58717108
경복고교,126.9710437,37.58511248
청운중학교,126.9725944,37.58790085
자하문고개.윤동주문학관,126.9671282,37.59219358
자하문고개.윤동주문학관,126.9671677,37.59225741
청운중학교,126.9724615,37.58812866
경복고교,126.971148,37.58504593
통인시장종로구보건소,126.9711089,37.58033173
통인시장종로구보건소,126.971244,37.58048929
효자동,126.9705348,37.58308184
사직단.어린이도서관,126.9680206,37.57511252
사직동주민센터,126.9713179,37.57609006
경복궁역,126.9722922,37.57688877
경복궁역,126.9721844,37.57764064
경복궁,126.9787905,37.57577149
KT광화문지사,126.9772023,37.5724045
광화문,126.9764107,37.57003982
서울역사박물관.경교장.강북삼성병원,126.9713844,37.56993064
광화문.금호아시아나본관앞,126.9731311,37.57020901
광화문,126.9757675,37.57023908
세종문화회관,126.9767122,37.57266095
서울지방경찰청.경복궁역,126.9714955,37.57590104
사직단,126.9680705,37.57494659
광화문광화문빌딩,126.9768398,37.56969249
덕성여중고,126.9819731,37.57573943
안국역.종로경찰서.인사동,126.9840963,37.57597118
국민은행세검정지점,126.960969,37.604688
세검정초등학교,126.9612836,37.60248796
세검정.상명대,126.9587715,37.60066502
상명대입구.석파랑,126.958688,37.599605
하림각,126.9618276,37.598269
자하문터널입구.석파정,126.9637112,37.59558027
부암동주민센터.무계원,126.964027,37.592874
부암동주민센터.무계원,126.965131,37.59275754
자하문터널입구.석파정,126.9638097,37.59559179
하림각,126.9622117,37.59814363
상명대입구.세검정교회,126.9592186,37.59955974
세검정.상명대,126.958889,37.60061499
