,Unnamed: 0,자치구명,법정동코드,법정동명,지번주소,건물명,층,임대건물명,임대면적,전월세구분,보증금,임대료,건축년도,연식,latitude,longitude,conv_num,in_din_total_300,in_mart_total_1000,in_subway_total_500,in_hosp_total_1000,in_cafe_total_300,police_500,center_500,in_din_total_50,in_subway_total_50,all_score_life,nois_total
726,726,관악구,10200,신림동,서울특별시 관악구 신림동 1568-4,미성동오피스텔,7,오피스텔,29.05,준전세,12000,40,2011.0,11,37.4807625809041,126.914952416148,8,107,0,0,109,20,1,1,4,0,41.88,24
727,727,관악구,10200,신림동,서울특별시 관악구 신림동 1568-4,미성동오피스텔,6,오피스텔,29.05,준전세,14000,30,2011.0,11,37.4807625809041,126.914952416148,8,107,0,0,109,20,1,1,4,0,41.88,24
728,728,서초구,10100,방배동,서울특별시 서초구 방배동 451-6,(451-6),4,다세대/연립,16.85,준월세,1000,50,2011.0,11,37.4784684072634,126.983374152397,13,381,3,2,171,79,4,1,23,0,87.62,78
729,729,서초구,10200,양재동,서울특별시 서초구 양재동 286-2,(286-2),5,다세대/연립,29.86,준월세,5000,75,2011.0,11,37.4739522871942,127.047026010356,11,171,5,0,65,47,0,0,5,0,39.03,24
730,730,관악구,10100,봉천동,서울특별시 관악구 봉천동 1648-2,아트리움,3,다세대/연립,13.7,준월세,1000,47,2011.0,11,37.4731637999423,126.970093067074,6,17,2,0,74,5,1,1,0,0,40.83,12
731,731,관악구,10200,신림동,서울특별시 관악구 신림동 626-15,유림빌라,3,다세대/연립,49.37,준전세,3671,3,2011.0,11,37.4722959945534,126.921083889646,13,96,0,0,46,12,2,1,0,0,40.07,12
732,732,서초구,10200,양재동,서울특별시 서초구 양재동 356-4,(356-4),5,다세대/연립,27.2,준월세,3000,74,2011.0,11,37.4675488772155,127.044033541749,7,120,6,0,38,26,0,1,0,0,38.42,12
733,733,강남구,11100,세곡동,서울특별시 강남구 세곡동 511,강남신동아파밀리에2단지,4,아파트,59.97,준전세,10104,7,2011.0,11,37.4641692046074,127.102754461114,2,20,5,0,16,8,1,0,0,0,36.46,12
734,734,강남구,11100,세곡동,서울특별시 강남구 세곡동 522,세곡리엔파크(4단지),7,아파트,59.84,준월세,3002,41,2011.0,11,37.462086390367,127.101964226816,1,9,5,0,16,4,0,0,0,0,25.35,12
735,735,서초구,10300,우면동,서울특별시 서초구 우면동 735,서초네이처힐7단지,14,아파트,49.9,준월세,4822,32,2011.0,11,37.4618187813328,127.023216339641,4,5,2,0,22,2,0,0,0,0,24.85,12
736,736,서초구,10300,우면동,서울특별시 서초구 우면동 735,서초네이처힐7단지,13,아파트,49.9,준월세,4822,32,2011.0,11,37.4618187813328,127.023216339641,4,5,2,0,22,2,0,0,0,0,24.85,12
737,737,서초구,10300,우면동,서울특별시 서초구 우면동 735,서초네이처힐7단지,11,아파트,49.9,전세,10608,0,2011.0,11,37.4618187813328,127.023216339641,4,5,2,0,22,2,0,0,0,0,24.85,12
738,738,서초구,10300,우면동,서울특별시 서초구 우면동 735,서초네이처힐7단지,6,아파트,49.9,전세,10608,0,2011.0,11,37.4618187813328,127.023216339641,4,5,2,0,22,2,0,0,0,0,24.85,12
739,739,영등포구,12800,양평동4가,서울특별시 영등포구 양평동4가 165,굿모닝빌,5,다세대/연립,25.68,전세,16000,0,2010.0,12,37.537440108719,126.896575278872,13,242,3,1,85,59,1,1,1,0,78.83,27
740,740,영등포구,12800,양평동4가,서울특별시 영등포구 양평동4가 182-1,(182-1),2,다세대/연립,28.18,준월세,2000,70,2010.0,12,37.537177272162,126.896764255752,13,261,3,1,90,59,1,1,5,0,79.56,39
741,741,영등포구,11700,당산동,서울특별시 영등포구 당산동 121-44,한산 오피스텔,12,오피스텔,23.36,준월세,6000,33,2010.0,12,37.5308974038026,126.907319356288,6,33,6,0,105,13,0,0,0,0,27.83,12
742,742,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 29-71,아크로타워,3,오피스텔,15.81,전세,9000,0,2010.0,12,37.522504849866,126.909771849771,9,74,5,1,128,16,2,1,14,0,64.93,51
743,743,강남구,10100,역삼동,서울특별시 강남구 역삼동 697-6,솔룸,2,다세대/연립,20.16,월세,1000,89,2010.0,12,37.5059433030793,127.045826754105,16,287,3,2,284,80,0,0,0,0,69.21,42
744,744,동작구,10300,상도1동,서울특별시 동작구 상도1동 496,대덕빌딩,3,다세대/연립,18.1,준월세,1000,59,2010.0,12,37.5050287934255,126.95237782141,9,33,6,1,106,30,0,0,2,0,50.8,27
745,745,동작구,10300,상도1동,서울특별시 동작구 상도1동 496,대덕빌딩,2,다세대/연립,18.66,준월세,1000,57,2010.0,12,37.5050287934255,126.95237782141,9,33,6,1,106,30,0,0,2,0,50.8,27
746,746,동작구,10800,대방동,서울특별시 동작구 대방동 376-8,(376-8),2,다세대/연립,41.34,준월세,8000,80,2010.0,12,37.5044691594098,126.924644917364,7,45,4,0,119,11,0,2,0,0,32.95,12
747,747,강남구,10100,역삼동,서울특별시 강남구 역삼동 752-4,아크빌,3,다세대/연립,14.04,준월세,1000,50,2010.0,12,37.4952961117225,127.034122313076,18,257,6,0,550,67,1,1,6,0,60.8,24
748,748,강남구,10100,역삼동,서울특별시 강남구 역삼동 788-22,(788-22),2,다세대/연립,24.75,준월세,1000,62,2010.0,12,37.4934409300556,127.041470746518,14,133,4,0,174,31,0,0,3,0,34.79,12
749,749,관악구,10100,봉천동,서울특별시 관악구 봉천동 1718-7,힐스타워오피스텔,4,오피스텔,33.41,준월세,1000,60,2010.0,12,37.4926451294807,126.945576322769,1,2,4,0,79,1,0,2,0,0,29.56,12
750,750,관악구,10200,신림동,서울특별시 관악구 신림동 534-1,아데나,5,아파트,17.94,준월세,1000,55,2010.0,12,37.4857625501645,126.911883054674,12,139,1,1,143,30,1,1,0,0,69.85,27
751,751,관악구,10200,신림동,서울특별시 관악구 신림동 534-1,아데나,9,아파트,18.0,월세,500,50,2010.0,12,37.4857625501645,126.911883054674,12,139,1,1,143,30,1,1,0,0,69.85,27
752,752,동작구,10900,신대방동,서울특별시 동작구 신대방동 366-223,금강그린빌,2,다세대/연립,32.91,전세,16000,0,2009.0,13,37.4956377442358,126.923483834845,4,26,6,0,156,9,2,2,0,0,41.870000000000005,12
753,753,동작구,10700,사당동,서울특별시 동작구 사당동 178-48,녹천빌리지,2,다세대/연립,32.27,전세,15000,0,2009.0,13,37.4918046524578,126.970339947035,3,6,2,0,53,2,0,0,0,0,24.89,12
754,754,관악구,10100,봉천동,서울특별시 관악구 봉천동 1727,관악유앤아이,1,아파트,84.88,전세,7500,0,2009.0,13,37.4868973645038,126.95057083075,9,78,5,0,219,20,0,3,0,0,35.769999999999996,12
755,755,관악구,10100,봉천동,서울특별시 관악구 봉천동 883-8,(883-8),6,오피스텔,99.32,준월세,1000,75,2009.0,13,37.4812121184928,126.948112892605,21,235,3,1,218,36,1,2,7,0,74.56,51
756,756,관악구,10100,봉천동,서울특별시 관악구 봉천동 883-8,(883-8),6,오피스텔,82.68,준월세,1000,45,2009.0,13,37.4812121184928,126.948112892605,21,235,3,1,218,36,1,2,7,0,74.56,51
757,757,영등포구,10800,영등포동7가,서울특별시 영등포구 영등포동7가 94-187,청호오피스텔,2,오피스텔,17.1,전세,9450,0,2008.0,14,37.5239874005143,126.909003863421,11,114,5,1,131,27,1,1,0,0,68.36,27
758,758,영등포구,10800,영등포동7가,서울특별시 영등포구 영등포동7가 94-187,청호오피스텔,4,오피스텔,17.1,전세,9450,0,2008.0,14,37.5239874005143,126.909003863421,11,114,5,1,131,27,1,1,0,0,68.36,27
759,759,영등포구,10800,영등포동7가,서울특별시 영등포구 영등포동7가 94-187,청호오피스텔,7,오피스텔,18.0,전세,7350,0,2008.0,14,37.5239874005143,126.909003863421,11,114,5,1,131,27,1,1,0,0,68.36,27
760,760,영등포구,13200,신길동,서울특별시 영등포구 신길동 2-1,한가람빌라A,4,다세대/연립,47.46,전세,14000,0,2008.0,14,37.5144459743479,126.924632964446,7,48,3,2,136,9,0,1,0,0,52.71,42
761,761,동작구,10200,상도동,서울특별시 동작구 상도동 22-38,다나네스트빌(22-38),4,다세대/연립,46.11,준전세,20000,20,2008.0,14,37.5062261807713,126.945982103989,7,79,4,1,118,17,0,1,0,0,55.29,27
762,762,강남구,10600,대치동,서울특별시 강남구 대치동 955-8,(955-8),2,다세대/연립,16.67,준월세,2000,60,2008.0,14,37.5049535858009,127.059488276458,11,199,4,0,274,46,0,0,6,0,39.92,24
763,763,강남구,10600,대치동,서울특별시 강남구 대치동 955-8,(955-8),3,다세대/연립,13.2,준월세,1000,60,2008.0,14,37.5049535858009,127.059488276458,11,199,4,0,274,46,0,0,6,0,39.92,24
764,764,동작구,10300,상도1동,서울특별시 동작구 상도1동 325-6,H.S빌,4,다세대/연립,46.02,준월세,1000,55,2008.0,14,37.5030661057944,126.952533328579,11,41,6,1,95,34,0,0,0,0,51.8,27
765,765,관악구,10100,봉천동,서울특별시 관악구 봉천동 867-1,한울오피스텔,7,오피스텔,27.95,준월세,6000,32,2007.0,15,37.4802588680954,126.95089358045,26,366,2,1,216,72,1,2,11,0,85.83,51
766,766,관악구,10100,봉천동,서울특별시 관악구 봉천동 867-1,한울오피스텔,5,오피스텔,53.01,준전세,15000,20,2007.0,15,37.4802588680954,126.95089358045,26,366,2,1,216,72,1,2,11,0,85.83,51
767,767,관악구,10200,신림동,서울특별시 관악구 신림동 646-263,(646-263),3,다세대/연립,54.04,전세,20000,0,2007.0,15,37.4698773137591,126.924659646475,3,3,1,0,76,0,2,1,0,0,39.42,12
768,768,영등포구,10200,영등포동1가,서울특별시 영등포구 영등포동1가 76,스페이스 오피스텔,6,오피스텔,22.99,준월세,5000,47,2006.0,16,37.5176283616669,126.913764275242,9,23,4,2,143,6,2,1,4,0,61.230000000000004,54
769,769,서초구,10600,잠원동,서울특별시 서초구 잠원동 65-13,(65-13),-1,다세대/연립,61.75,준월세,2000,80,2006.0,16,37.5139436661433,127.007788121219,2,7,5,1,88,1,0,1,2,0,49.75,27
